Risk ID,Risk Name,Category,Likelihood,Impact,Risk Score,Risk Level,Owner,Treatment Plan,Status,Date Created,Last Updated,Completion Date
R-001,Incomplete Access Reviews for Operational Systems,Access Control,3,4,12,Medium,Operations,"Perform quarterly access reviews for operational and SCADA accounts.",Open,2026-06-01,2026-06-01,2026-07-15
R-002,Unpatched Critical Control System Servers,Industrial Cybersecurity,4,5,20,Critical,IT Operations,"Implement vulnerability scanning and monthly patch management.",Open,2026-06-02,2026-06-02,2026-06-28
R-003,Environmental Permit Non-Compliance (Title V / EPA),Environmental Compliance,3,5,15,High,HES,"Review permit requirements and perform monthly compliance audits.",Open,2026-06-03,2026-06-03,2026-07-10
R-004,Unauthorized Privileged Access to SCADA Systems,Operational Technology,4,5,20,Critical,Operations,"Implement privileged access controls and multi-factor authentication.",Open,2026-06-04,2026-06-04,2026-07-20
R-005,Failure of Electrical Distribution Equipment,Infrastructure Reliability,4,4,16,High,Maintenance,"Perform preventive maintenance and equipment testing.",Open,2026-06-05,2026-06-05,2026-06-25
R-006,Delayed Response During Utility System Outage,Operational Reliability,3,5,15,High,Operations,"Conduct emergency response exercises and update response procedures.",Open,2026-06-06,2026-06-06,2026-07-05
R-007,Gas Turbine Reliability Degradation,Asset Management,3,5,15,High,Engineering,"Increase condition monitoring and preventive maintenance.",Open,2026-06-07,2026-06-07,2026-07-30
R-008,Continuous Emissions Monitoring System (CEMS) Failure,Environmental Compliance,4,4,16,High,HES,"Improve preventive maintenance and redundant monitoring.",Open,2026-06-08,2026-06-08,2026-07-08
R-009,Water Discharge Permit (NPDES) Reporting Errors,Environmental Compliance,2,4,8,Medium,Compliance Team,"Improve reporting procedures and management review.",Closed,2026-06-09,2026-06-09,2026-06-20
R-010,Turbine Control System Configuration Drift,Operational Technology,3,5,15,High,Engineering,"Implement formal change management and configuration monitoring.",Open,2026-06-10,2026-06-10,2026-07-10
R-011,Ransomware Attack,Cybersecurity,5,5,25,Critical,IT Security,"Deploy layered ransomware protection and recovery procedures.",Open,2026-06-11,2026-06-11,2026-06-20
R-012,Customer Data Breach,Information Security,4,5,20,Critical,Security Team,"Encrypt sensitive data and continuously monitor privileged access.",Open,2026-06-12,2026-06-12,2026-06-25
R-013,Third-Party Vendor Security Failure,Third-Party Risk,3,5,15,High,Vendor Management,"Perform vendor security assessments and continuous monitoring.",Open,2026-06-13,2026-06-13,2026-07-15
R-014,Cloud Security Misconfiguration,Cloud Security,4,4,16,High,Cloud Operations,"Review cloud configurations against security baselines.",Open,2026-06-14,2026-06-14,2026-07-18
R-015,Missing Multi-Factor Authentication,Identity and Access Management,4,5,20,Critical,IT Security,"Require MFA for all privileged and remote access.",Open,2026-06-15,2026-06-15,2026-07-05
R-016,Insider Threat,Information Security,3,5,15,High,Security Team,"Monitor privileged user activity and enforce least privilege.",Open,2026-06-16,2026-06-16,2026-07-22
R-017,Phishing Campaign,Cybersecurity,4,4,16,High,SOC Team,"Deploy email filtering and conduct recurring security awareness training.",Open,2026-06-17,2026-06-17,2026-07-01
R-018,Identity Lifecycle Management Weakness,Identity and Access Management,4,4,16,High,Identity Management,"Review user provisioning, deprovisioning, and privileged access processes.",Open,2026-06-18,2026-06-18,2026-07-12
R-019,Incomplete Vulnerability Management,Cybersecurity,4,5,20,Critical,IT Operations,"Perform routine vulnerability scanning, prioritization, and remediation.",Open,2026-06-19,2026-06-19,2026-07-08
R-020,Security Awareness Training Non-Compliance,Governance and Compliance,3,4,12,Medium,HR,"Assign mandatory annual security awareness training and monitor completion.",Open,2026-06-20,2026-06-20,2026-07-30
