Risk ID,Control ID
R-001,C-001
R-001,C-002
R-001,C-003
R-001,C-004
R-001,C-005
R-002,C-004
R-002,C-005
R-002,C-006
R-003,C-007
R-003,C-008
R-003,C-009
R-004,C-010
R-004,C-011
R-004,C-012
R-005,C-013
R-005,C-014
R-005,C-015
R-006,C-016
R-006,C-017
R-006,C-018
R-007,C-019
R-007,C-020
R-008,C-021
R-008,C-022
R-008,C-023
R-009,C-023
R-009,C-024
R-009,C-025
R-010,C-026
R-010,C-027
R-010,C-028
R-011,C-048
R-011,C-049
R-012,C-029
R-012,C-030
R-012,C-031
R-013,C-032
R-013,C-033
R-014,C-034
R-014,C-035
R-014,C-036
R-015,C-037
R-015,C-038
R-015,C-012
R-016,C-039
R-016,C-040
R-017,C-041
R-017,C-042
R-017,C-043
R-018,C-043
R-018,C-044
R-018,C-045
R-019,C-045
R-019,C-046
R-019,C-047
R-020,C-021
R-020,C-050
R-020,C-048
R-002,C-051
